fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
114;412;I12890.00;NEN-ISO 12890:2000 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
115;963;I13320.09-12;NEN-ISO 13320:2009-12 en;Norm bodem-fysisch;;29 november 2014 00:00:00;1 januari 2100 00:00:00
116;413;I13358.97;ISO 13358:1997 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
117;175;I13395.97;NEN-EN-ISO 13395:1997 nl;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
118;415;I13536.95;ISO 13536:1995 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
119;416;I13641-1.03;NEN-ISO 13641-1:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
120;417;I13641-2.03;NEN-ISO 13641-2:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
121;418;I13829.00;NEN-ISO 13829:2000 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
122;419;I13877.98;ISO 13877:1998 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
123;420;I13878.98;ISO 13878:1998 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
124;421;I14154.05;NEN-ISO 14154:2005 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
125;422;I14235.98;ISO 14235:1998 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
126;423;I14254.01;ISO 14254:2001 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
127;424;I14255.05;NEN-ISO 14255:2005 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
128;425;I14256-2.05;ISO 14256-2:2005 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
129;211;I14402.99;NEN-EN-ISO 14402:1999 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
130;1015;I14403-2.09;NEN-EN-ISO 14403-2:2009 Ontw. en;Norm vervallen;;29 juni 2018 00:00:00;1 januari 2100 00:00:00
131;1014;I14403-2.12;NEN-EN-ISO 14403-2:2012 en;Norm water-chemisch;;29 juni 2018 00:00:00;1 januari 2100 00:00:00
132;176;I14403.02;NEN-EN-ISO 14403:2002 en;Norm vervallen;;29 juni 2018 00:00:00;1 januari 2100 00:00:00
133;428;I14442.06;NEN-ISO 14442:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
134;429;I14592-1.03;NEN-ISO 14592-1:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
135;430;I14592-2.03;NEN-ISO 14592-2:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
136;431;I14593.05;NEN-EN-ISO 14593:2005 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
137;432;I14669.99;ISO 14669:1999 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
138;433;I14869-1.01;ISO 14869-1:2001 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
139;434;I14869-2.02;ISO 14869-2:2002 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
140;435;I14870.01;ISO 14870:2001 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
141;436;I14911.99;NEN-EN-ISO 14911:1999 en;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
142;297;I15009.02;NEN-ISO 15009:2002 en;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
143;438;I15061.01;NEN-EN-ISO 15061:2001 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
144;439;I15088.07;ISO 15088:2007 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
145;440;I15089.00;ISO 15089:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
146;441;I15178.00;ISO 15178:2000 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
147;442;I15522.99;NEN-ISO 15522:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
148;443;I15553.06;NEN-ISO 15553:2006 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
149;8;I15586.03;NEN-EN-ISO 15586:2003 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
150;445;I15587-1.02;NEN-EN-ISO 15587-1:2002 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
151;446;I15587-2.02;NEN-EN-ISO 15587-2:2002 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
152;447;I15680.03;NEN-EN-ISO 15680:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
153;448;I15681-1.05;NEN-EN-ISO 15681-1:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
154;298;I15681-2.05;NEN-EN-ISO 15681-2:2005 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
155;296;I15682.01;NEN-EN-ISO 15682:2001 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
156;451;I15705.03;NEN-ISO 15705:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
157;452;I15913.03;NEN-EN-ISO 15913:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
158;453;I15923-1.13;NEN-ISO 15923-1:2013 en;Norm water-chemisch;;9 juli 2014 00:00:00;1 januari 2100 00:00:00
159;454;I16221.01;NEN-ISO 16221:2001 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
160;455;I16240.05;ISO 16240:2005 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
161;456;I16264.02;ISO 16264:2002 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
162;457;I16264.04;NEN-EN-ISO 16264:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
163;458;I16266.06;ISO 16266:2006 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
164;459;I16588.03;NEN-EN-ISO 16588:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
165;460;I16590.00;ISO 16590:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
166;461;I16665.05;NEN-EN-ISO 16665:2005 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
167;462;I16703.04;ISO 16703:2004 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
168;463;I16720.07;NEN-EN-ISO 16720:2007 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
169;225;I16772.04;NEN-ISO 16772:2004 en;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
170;465;I17294-1.06;NEN-EN-ISO 17294-1:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
171;277;I17294-2.04;NEN-EN-ISO 17294-2:2004 en;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
172;1000;I17294-2.16;NEN-EN-ISO 17294-2:2016 en;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
173;303;I17353.05;NEN-EN-ISO 17353:2005 en;Norm water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
174;253;I17380.06;NEN-ISO 17380:2006 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
175;964;I17380.13;NEN-EN-ISO 17380:2013;Norm bodem-chemisch;;29 november 2014 00:00:00;1 januari 2100 00:00:00
176;469;I17495.03;NEN-EN-ISO 17495:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
177;470;I17852.06;ISO 17852:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
178;471;I17852.08;NEN-EN-ISO 17852:2008 en;Norm water-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
179;472;I17858.07;ISO 17858:2007 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
180;473;I17993.04;NEN-EN-ISO 17993:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
181;474;I17994.04;NEN-EN-ISO 17994:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
182;237;I18073.04;NEN-ISO 18073:2004 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
183;476;I18287.06;NEN-ISO 18287:2006 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
184;477;I18412.06;NEN-EN-ISO 18412:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
185;478;I18749.04;NEN-ISO 18749:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
186;479;I18856.05;NEN-EN-ISO 18856:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
187;301;I18857-1.06;NEN-EN-ISO 18857-1:2006 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
